4,6,0,4,8,2,0,0,0
1,-1,0,0,0,0,0,0,0
1,-1,0,0,0,0,0,0,0
4,8,0,68,338,40,0,0,2
0,0,0,6,31,7,0,0,0
2,-2,0,12,38,6,0,2,0
6,8,0,50,368,34,2,4,0
8,92,0,46,452,30,4,0,0
16,76,0,40,176,12,0,0,0
0,0,0,21,219,33,1,2,2
4,8,0,66,482,46,4,0,0
10,94,0,42,374,64,0,2,0
4,28,0,74,464,44,4,0,2
6,44,0,66,428,34,0,4,2
4,0,0,64,612,46,2,2,0
6,22,0,44,540,36,4,0,0
0,0,0,27,367,44,2,2,0
14,120,2,58,326,40,6,0,0
6,46,2,46,300,30,2,0,0
18,224,2,40,536,58,6,2,2
0,0,0,3,32,6,0,0,1
6,48,0,78,550,44,0,2,0
2,16,0,68,406,42,0,0,0
8,40,0,58,404,26,0,2,0
8,38,0,82,542,50,4,2,2
6,12,0,56,436,38,4,2,0
8,78,4,20,192,12,0,4,0
10,10,2,66,612,44,2,8,0
10,58,0,76,580,50,4,0,0
6,38,0,42,514,74,4,0,4
20,120,0,42,268,24,2,0,2
4,22,0,66,476,50,4,2,0
4,12,0,26,418,32,8,0,0
14,54,0,64,450,40,4,0,0
10,48,0,32,370,48,0,2,0
6,28,2,86,626,54,6,4,2
2,-4,0,66,482,38,0,2,2
2,14,0,34,436,74,6,4,0
10,58,2,44,462,70,0,0,0
14,128,0,48,568,34,6,2,0
9,9,0,63,822,117,0,3,0
4,22,0,62,318,32,0,4,0
2,10,0,56,742,78,8,0,0
4,6,0,40,198,16,2,0,0
12,102,0,88,528,50,2,2,0
12,48,0,54,430,30,2,2,0
2,-2,0,2,14,6,0,0,0
2,6,0,48,482,84,2,0,0
2,6,0,50,670,72,2,0,2
0,0,0,8,129,6,2,1,0
6,-10,0,34,498,62,2,4,0
10,26,0,38,518,52,4,2,0
8,4,0,36,316,56,2,2,0
6,22,0,46,376,74,0,6,0
8,86,0,50,592,74,2,0,0
8,-6,0,40,348,56,0,2,0
6,2,0,50,632,70,4,0,2
8,34,2,34,462,40,8,0,0
2,-2,0,26,242,48,0,2,0
6,-6,0,4,0,0,0,2,0
4,24,0,30,336,50,2,0,0
4,24,0,30,276,42,4,0,0
6,0,0,48,292,34,0,0,0
4,42,0,34,374,60,2,2,0
6,46,0,54,538,82,2,0,2
12,42,2,28,306,36,2,0,0
4,46,0,28,280,44,2,0,0
6,40,0,52,536,84,2,0,0
6,14,0,38,618,54,4,2,0
4,4,0,38,198,20,0,2,0
2,4,0,34,236,56,0,2,0
10,64,0,42,420,74,4,2,0
12,54,0,24,300,40,0,0,0
6,60,0,62,630,82,2,4,0
12,36,0,34,418,50,2,2,0
10,54,2,38,634,60,0,0,0
6,34,2,26,288,42,0,2,0
6,32,0,46,462,64,0,2,0
2,14,0,30,314,52,2,4,0
0,0,0,4,51,8,0,0,0
4,2,0,34,466,56,0,0,0
3,-3,0,0,0,0,0,0,0
4,20,0,34,320,52,4,2,0
4,2,0,48,364,28,2,2,0
6,24,0,48,574,70,2,0,0
2,4,0,4,16,16,0,2,0
8,38,0,24,144,56,2,0,0
6,27,0,30,609,72,0,0,0
2,-2,0,18,156,28,0,0,0
10,80,0,24,354,46,2,2,0
4,-2,0,26,388,42,4,0,0
3,-2,0,0,0,0,0,0,0
0,0,0,1,13,2,0,0,0
4,42,0,54,530,86,4,4,0
12,76,2,36,356,46,4,0,0
4,14,0,52,564,74,2,0,0
2,0,0,10,160,14,2,2,0
6,30,0,46,606,78,4,2,0
10,26,0,78,644,56,4,0,0
10,34,0,78,706,54,6,0,0
